"number","title","pageid","namespace","length","touched"
"1","Programming_languages","690571","Category","454","20211010000517"
"2","Algebra","690637","Category","497","20220212045011"
"3","Abstract_algebra","690672","Category","115","20200422184823"
"4","Linear_algebra","690777","Category","1119","20200422185513"
"5","Calculus","690803","Category","738","20201102224504"
"6","Algorithms","691136","Category","295","20221030142027"
"7","Geometry","691466","Category","674","20201002215153"
"8","Multi-dimensional_geometry","691467","Category","145","20201102221050"
"9","Swimming","691570","Category","608","20220706185347"
"10","Computer_chess","691720","Category","119","20210126045209"
"11","Functional_analysis","691866","Category","423","20201102224730"
"12","Mathematical_analysis","691875","Category","544","20200422185628"
"13","Combinatorics","691896","Category","817","20200422192042"
"14","Graph_theory","691898","Category","1075","20210826180647"
"15","Operator_theory","691908","Category","420","20220802151412"
"16","Complex_analysis","691914","Category","997","20201102224531"
"17","Topology","691921","Category","516","20220905155130"
"18","Cryptography","692160","Category","1109","20211218155154"
"19","Matrix_theory","692453","Category","387","20220512115256"
"20","Optics","692743","Category","917","20210523172115"
"21","Semiconductors","692856","Category","374","20220607192413"
"22","Thermodynamics","693006","Category","350","20200422190313"
"23","Fictional_robots","693429","Category","1289","20220531055653"
"24","Set_theory","693646","Category","1016","20200422192250"
"25","Ramsey_theory","693649","Category","26","20130313081448"
"26","Mathematical_games","693658","Category","125","20201224065116"
"27","Mathematicians","693661","Category","241","20210522143926"
"28","Graphs","693667","Category","228","20160131204302"
"29","Mathematical_logic","693685","Category","993","20200422192212"
"30","Proof_theory","693693","Category","312","20200425191327"
"31","Theorems","693699","Category","773","20200917120349"
"32","Integer_sequences","693721","Category","448","20201220221111"
"33","Computational_complexity_theory","693727","Category","163","20200727201223"
"34","Conceptual_artists","693728","Category","262","20200426132616"
"35","Number_theory","693745","Category","682","20200425191357"
"36","Differential_geometry","693878","Category","286","20220802151335"
"37","Lambda_calculus","693892","Category","209","20200425191400"
"38","Model_theory","693979","Category","907","20220121232243"
"39","Probability_theory","693985","Category","127","20161215071008"
"40","Probability_and_statistics","693986","Category","143","20180210131156"
"41","Real_analysis","693990","Category","383","20201102224941"
"42","Measure_theory","693992","Category","119","20211027222318"
"43","Algebraic_geometry","693994","Category","551","20210208121447"
"44","Differential_operators","693999","Category","547","20200107215048"
"45","Statistics","694008","Category","160","20191215081637"
"46","Information_theory","694025","Category","597","20220928061557"
"47","Go_players","694136","Category","190","20211021012635"
"48","Wikipedia_timelines","694290","Category","429","20220529082329"
"49","Euclidean_geometry","694421","Category","130","20200425191407"
"50","Riemannian_geometry","694453","Category","628","20200422190217"
"51","Lists_of_places","694550","Category","104","20150715021333"
"52","Discrete_geometry","694609","Category","467","20201102220928"
"53","Computer_scientists","694790","Category","435","20200422194608"
"54","Cryptographic_software","694900","Category","208","20200422000642"
"55","Analytic_number_theory","694968","Category","329","20141220164723"
"56","TeX","695136","Category","719","20201012210745"
"57","Chess_openings","695341","Category","182","20180429192924"
"58","Algebraic_topology","695928","Category","283","20210208121526"
"59","Homological_algebra","695955","Category","436","20210208121833"
"60","Category_theory","695968","Category","340","20210208121549"
"61","Geometric_topology","695981","Category","400","20200728194614"
"62","Surfaces","695994","Category","139","20211105145613"
"63","Knot_theory","696014","Category","369","20190806214104"
